,id,product_title,product_description,filename,format,mode,resolution,filesize,retrieved,file_exists,merged_text
280,52043043,Парковка Полиция свет/звук,Материал игрушки пластик Комплектация Машинка - 1 шт; парковка - 1 шт Страна производства Китай Длина упаковки 26 см Высота упаковки 21 см Ширина упаковки 38 см,res/img/52043043.png,PNG,RGBA,"(246, 328)",69.1,2024-05-08 15:02:15.619389952,True,парковка полиция свет/звук материал игрушки пластик комплектация машинка  1 шт парковка  1 шт страна производства китай длина упаковки 26 см высота упаковки 21 см ширина упаковки 38 см
281,190705182,Металлическая машинка Молния Маквин Тачки,Количество предметов в упаковке 1 шт; 1 машинка Материал игрушки металл; пластик Особенности игрушки высокая детализация; супер качество Механизм движения без механизма Эффекты Коллекционная машинка Масштаб 1:64,res/img/190705182.png,PNG,RGBA,"(246, 328)",101.5,2024-05-08 15:02:23.545338112,True,металлическая машинка молния маквин тачки количество предметов в упаковке 1 шт 1 машинка материал игрушки металл пластик особенности игрушки высокая детализация супер качество механизм движения без механизма эффекты коллекционная машинка масштаб 1:64
282,10614802,Машинка Горстрой каток с двигателем и шуруповертом,Материал игрушки пластик Особенности игрушки конструктор машина; съемные детали Механизм движения заводной Страна производства Китай Комплектация игрушка Высота предмета 19.2 см,res/img/10614802.png,PNG,RGBA,"(246, 328)",68.91,2024-05-08 15:02:32.287792896,True,машинка горстрой каток с двигателем и шуруповертом материал игрушки пластик особенности игрушки конструктор машина съемные детали механизм движения заводной страна производства китай комплектация игрушка высота предмета 19.2 см
283,150397434,Игрушка детская машинка металлическая BMW Z4 M40i 1:38,"Количество предметов в упаковке 1 Материал игрушки Металл, Пластик, Резина Особенности игрушки металлический корпус; резиновые колеса; масштабная модель Марка автомобиля BMW Механизм движения инерционный Эффекты инерционный механизм; открываются двери",res/img/150397434.png,PNG,RGBA,"(246, 328)",44.88,2024-05-08 15:02:41.625026048,True,"игрушка детская машинка металлическая bmw z4 m40i 1:38 количество предметов в упаковке 1 материал игрушки металл, пластик, резина особенности игрушки металлический корпус резиновые колеса масштабная модель марка автомобиля bmw механизм движения инерционный эффекты инерционный механизм открываются двери"
284,174506575,Набор детских игрушечных машинок Пожарная бригада 6 шт,Количество предметов в упаковке 6 Материал игрушки Пластик (ABC) Особенности игрушки Развивает внимание и усидчивость; Инерционный механизм движения Эффекты Антистресс Масштаб 1:84 Страна производства Китай,res/img/174506575.png,PNG,RGBA,"(246, 328)",126.81,2024-05-08 15:02:50.871321088,True,набор детских игрушечных машинок пожарная бригада 6 шт количество предметов в упаковке 6 материал игрушки пластик (abc) особенности игрушки развивает внимание и усидчивость инерционный механизм движения эффекты антистресс масштаб 1:84 страна производства китай
285,192613506,Набор машинок меняющих цвет 3 шт.,Количество предметов в упаковке 3 шт. Особенности игрушки меняет цвет Масштаб 1:64,res/img/192613506.png,PNG,RGBA,"(246, 328)",111.29,2024-05-08 15:02:59.475339776,True,набор машинок меняющих цвет 3 шт. количество предметов в упаковке 3 шт. особенности игрушки меняет цвет масштаб 1:64
286,31002469,Игрушка детская машинка металлическая каток модель 1:50,Количество предметов в упаковке 1 Материал игрушки металл; резина; пластик Особенности игрушки масштабная модель; металлический корпус; резиновые колеса Эффекты Вращающийся вал; Двигается в стороны вал; открывается капот Масштаб 1:50 Страна производства Китай,res/img/31002469.png,PNG,RGBA,"(246, 328)",57.93,2024-05-08 15:03:08.087972096,True,игрушка детская машинка металлическая каток модель 1:50 количество предметов в упаковке 1 материал игрушки металл резина пластик особенности игрушки масштабная модель металлический корпус резиновые колеса эффекты вращающийся вал двигается в стороны вал открывается капот масштаб 1:50 страна производства китай
287,170092899,Автотрек бегающие уточки игрушка антистресс,Питание от батареек; Бегающие утята Возрастные ограничения 3+; 0+; для взрослых и детей Страна производства Китай Комплектация игрушка; антистресс; лестница; уточки; подарочная коробка,res/img/170092899.png,PNG,RGBA,"(246, 328)",163.44,2024-05-08 15:03:17.368545024,True,автотрек бегающие уточки игрушка антистресс питание от батареек бегающие утята возрастные ограничения 3+ 0+ для взрослых и детей страна производства китай комплектация игрушка антистресс лестница уточки подарочная коробка
288,151971553,Машинка детская Развивающие игрушки,Количество предметов в упаковке 1 шт. Материал игрушки пластик Особенности игрушки без острых углов; инерционная машинка; открывающиеся части Марка автомобиля универсальная модель Механизм движения инерционный Эффекты двигательные; инерционный механизм; Съёмный открывающийся багажник,res/img/151971553.png,PNG,RGBA,"(246, 328)",156.31,2024-05-08 15:03:26.284837120,True,машинка детская развивающие игрушки количество предметов в упаковке 1 шт. материал игрушки пластик особенности игрушки без острых углов инерционная машинка открывающиеся части марка автомобиля универсальная модель механизм движения инерционный эффекты двигательные инерционный механизм съёмный открывающийся багажник
289,154053258,Машинка для дрифта на пульте управления,Количество предметов в упаковке 5 Материал игрушки abs-пластик Особенности игрушки радиоуправляемая Эффекты дрифт Количество батареек для работы 2 шт. Страна производства Китай,res/img/154053258.png,PNG,RGBA,"(246, 328)",171.55,2024-05-08 15:03:34.366230016,True,машинка для дрифта на пульте управления количество предметов в упаковке 5 материал игрушки absпластик особенности игрушки радиоуправляемая эффекты дрифт количество батареек для работы 2 шт. страна производства китай
290,99547105,Автобус металлический инерционный,Количество предметов в упаковке 1 шт Материал игрушки металл; пвх Особенности игрушки инерционная; в коробке; четкая детализация Механизм движения инерционный Масштаб 1:52 Страна производства Китай,res/img/99547105.png,PNG,RGBA,"(246, 328)",152.96,2024-05-08 15:03:43.007809024,True,автобус металлический инерционный количество предметов в упаковке 1 шт материал игрушки металл пвх особенности игрушки инерционная в коробке четкая детализация механизм движения инерционный масштаб 1:52 страна производства китай
